,Links,Title,Details,Price,Rating
0,,,,,
1,https://www.airbnb.co.in//rooms/36336885?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Hotel room in Honolulu,"Hotel La Croix, Deluxe Queen Rooms w/ 2 Queen Beds","₹14,257 per night, originally ₹15,841",4.4
2,https://www.airbnb.co.in//rooms/43604370?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Home in Honolulu,Honolulu Hideaway near Waikiki,"₹17,481 per night",5
3,https://www.airbnb.co.in//rooms/710818651660924734?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Flat in Honolulu,Waikiki Beach Walk 1 Bedroom with Kitchen,"₹17,824 per night",New
4,https://www.airbnb.co.in//rooms/20696053?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Flat in Honolulu,WatchSurfersOnYourSofaSeaViewParkingCloesToBeach,"₹22,467 per night",4.7
5,https://www.airbnb.co.in//rooms/705353206291131252?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Private room in Honolulu,"Relax, recharge and refresh in the Aloha room!","₹10,063 per night",New
6,https://www.airbnb.co.in//rooms/51424844?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Hotel room in Honolulu,Sara's Rainbow Suite,"₹16,234 per night",4.1
7,https://www.airbnb.co.in//rooms/21151688?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Apartment in Honolulu,"Boutique Central Waikiki 1BR Resort, Full Kitchen","₹11,005 per night",4.2
8,https://www.airbnb.co.in//rooms/700773045901144686?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Apartment in Honolulu,AB7.Hawaiian Oasis. Boutique Hotel. Walk to beach.,"₹11,391 per night",2.6
9,https://www.airbnb.co.in//rooms/26474065?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Apartment in Honolulu,the GAME OVER PAD of WAIKIKI,"₹1,67,230 per night",4.7
10,https://www.airbnb.co.in//rooms/40121249?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Flat in Honolulu,2 bedsOr1 bedOceanView2minToWaikikiBeach.ACParking,"₹20,968 per night, originally ₹24,147",4.6
11,https://www.airbnb.co.in//rooms/33909606?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Guest house in Ewa Beach,Adorable guest studio,"₹11,531 per night",New
12,https://www.airbnb.co.in//rooms/53120899?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Campervan/Motorhome in Waipahu,Luxe Hawaii #VanLife experience in our MiniCamper,"₹8,983 per night, originally ₹9,842",4.7
13,https://www.airbnb.co.in//rooms/650190239856247306?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Flat in Honolulu,Royal Garden Resort Studio,"₹12,832 per night",New
14,https://www.airbnb.co.in//rooms/53188086?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Private room in Laie,Jeep rooftop camper w/ brand new tent now!,"₹9,362 per night, originally ₹11,481",4.6
15,https://www.airbnb.co.in//rooms/517538024678435791?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Campervan/Motorhome in Waipahu,The Olyvia,"₹7,474 per night, originally ₹8,190",4.7
16,https://www.airbnb.co.in//rooms/39504658?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Apartment in Honolulu,Paradise,"₹15,989 per night",4.8
17,https://www.airbnb.co.in//rooms/40452688?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Apartment in Honolulu,One Block from Waikiki Beach w/ off street parking,"₹18,074 per night",4.8
18,https://www.airbnb.co.in//rooms/53852880?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Home in Waimanalo,"3 Bed/2Bath House, Large yard, Walk to the Beach","₹36,588 per night",4.7
19,https://www.airbnb.co.in//rooms/53589140?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Campervan/Motorhome in Kaneohe,Camper Van  (XLE) 2018,"₹10,322 per night, originally ₹13,282",4.4
20,https://www.airbnb.co.in//rooms/587268565068000305?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=54126f58-fc7c-4ecb-aeb6-7cadb2af771b,Flat in Honolulu,Roomy family Waikiki Apt sleeps 6 w/FREE parking,"₹32,974 per night, originally ₹38,709",5
21,https://www.airbnb.co.in//rooms/43901450?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Campervan/Motorhome in Hauula,Dreamer | Oahu Island Camper Van,"₹12,261 per night, originally ₹13,445",4.9
22,https://www.airbnb.co.in//rooms/46196780?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,Studio Condo * Wyndham Royal Garden @ Waikiki,"₹17,842 per night",5
23,https://www.airbnb.co.in//rooms/39533085?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Hotel room in Honolulu,Platinum Skyline Penthouse - Newly Renovated,"₹18,702 per night",4.2
24,https://www.airbnb.co.in//rooms/705366265589813319?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Private room in Honolulu,"Relax, recharge and refresh in the Hibiscus room!","₹10,063 per night",New
25,https://www.airbnb.co.in//rooms/53596236?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Campervan/Motorhome in Kaneohe,Glamper Adventurer Van,"₹10,916 per night",4.9
26,https://www.airbnb.co.in//rooms/34215294?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Guest suite in Honolulu,Near Waikiki Spacial 1200 sq ft 2 bedrooms/1 bath,"₹32,289 per night",4.6
27,https://www.airbnb.co.in//rooms/585242346339222795?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,Royal Garden at Waikiki Studio,"₹14,761 per night, originally ₹16,504",New
28,https://www.airbnb.co.in//rooms/50906830?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Home in Hauula,Corner Beachfront Villa with its own Private Beach,"₹1,63,616 per night",5
29,https://www.airbnb.co.in//rooms/21882512?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Home in Honolulu,Bright & Breezy 2BR House with Beautiful Views,"₹33,595 per night",4.8
30,https://www.airbnb.co.in//rooms/14323092?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Home in Kailua,Kailua Beachside 2bed/2Bath Sleeps 8,"₹41,123 per night",4.4
31,https://www.airbnb.co.in//rooms/42792106?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,"Waikiki Sunrise Suite, short walk to the Ocean","₹14,420 per night",4.5
32,https://www.airbnb.co.in//rooms/51858523?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,Royal Garden at Waikiki Studio,"₹18,740 per night",5
33,https://www.airbnb.co.in//rooms/50795349?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Campervan/Motorhome in Honolulu,Tacoma w/ Rooftent - Close to Honolulu Airport,"₹10,370 per night",4.8
34,https://www.airbnb.co.in//rooms/689332356756272637?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,Royal Garden Waikiki Resort Studio Unit,"₹14,761 per night",New
35,https://www.airbnb.co.in//rooms/50178892?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Campervan/Motorhome in Hauula,Heihei -  A Stealth Campervan,"₹10,983 per night",4.9
36,https://www.airbnb.co.in//rooms/50794396?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Guest house in Honolulu,Newly Built and Modern 2-Bedroom House!,"₹27,332 per night",4.2
37,https://www.airbnb.co.in//rooms/707125556209831564?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Apartment in Honolulu,Waikiki BeachWalk 1 Bedroom,"₹18,765 per night",New
38,https://www.airbnb.co.in//rooms/633657976649430653?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Home in Honolulu,Cheerful 2 Bedroom Guesthouse with Free Parking,"₹32,066 per night",4.8
39,https://www.airbnb.co.in//rooms/635486890330960153?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Home in Honolulu,Newly Renovated 3 bedroom 2 bathroom in Hawaii Kai,"₹54,670 per night",5
40,https://www.airbnb.co.in//rooms/35654844?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=7d957bd1-55a5-4555-856b-c8668251e486,Shared room in Waianae,NEAR TROPICAL BLUE OCEAN AND SANDY BEACH,"₹9,964 per night",4.4
41,https://www.airbnb.co.in//rooms/54206860?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,Chic 1 bedroom with City Views!🏙,"₹25,199 per night",New
42,https://www.airbnb.co.in//rooms/710810999865458864?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Resort in Kapolei,"Beautiful Resort 1 Bedroom, Marriott Ko Olina","₹45,346 per night",New
43,https://www.airbnb.co.in//rooms/4614657?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Private room in Honolulu,Hawaiian Zen Sanctuary  Private Room in Hawaii Kai,"₹18,450 per night",New
44,https://www.airbnb.co.in//rooms/39533013?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Hotel room in Honolulu,Gold Corner Studio,"₹14,758 per night, originally ₹16,398",4.2
45,https://www.airbnb.co.in//rooms/707935018471017004?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Private room in Honolulu,"Relax, recharge and refresh, the Kohola room.","₹10,063 per night",New
46,https://www.airbnb.co.in//rooms/38903944?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Hotel room in Honolulu,Hotel La Croix Kitchenette - Newly Renovated,"₹16,901 per night",4.5
47,https://www.airbnb.co.in//rooms/13960740?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Home in Honolulu,HI-VIBE Hawaiian Haven,"₹42,974 per night, originally ₹49,332",4.9
48,https://www.airbnb.co.in//rooms/590623482839256873?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Home in Hauula,AMAZING HAUULA OCEANFRONT ESCAPE!!,"₹59,448 per night",4.6
49,https://www.airbnb.co.in//rooms/695676203238734507?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Cottage in Hauula,Luxury Oceanfront  Cottage w/Private Beach Access,"₹54,204 per night",New
50,https://www.airbnb.co.in//rooms/47784933?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Campervan/Motorhome in Honolulu,Sunset Mercedes Sprinter Vanlife,"₹9,131 per night",4.4
51,https://www.airbnb.co.in//rooms/25270892?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Home in Honolulu,Perfect Family Home Located in Honolulu,"₹27,332 per night",4.5
52,https://www.airbnb.co.in//rooms/13100450?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Flat in Honolulu,"1207R-  HUGE Balcony! Quiet,Views!!","₹29,489 per night",4.4
53,https://www.airbnb.co.in//rooms/40992274?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,Superior one bedroom suite in the heart of Waikiki,"₹27,304 per night",4.8
54,https://www.airbnb.co.in//rooms/38100141?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Hotel room in Honolulu,"Ocean View King Bed, Hotel Renew","₹18,464 per night, originally ₹20,745",3.8
55,https://www.airbnb.co.in//rooms/34622213?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Private room in Honolulu,Skyline Views! Work-From-Home Oasis!,"₹7,320 per night, originally ₹8,028",4.8
56,https://www.airbnb.co.in//rooms/29180761?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Guest suite in Honolulu,"2 Bedroom Kahala Cottage, Sleeps 6","₹29,630 per night",4.6
57,https://www.airbnb.co.in//rooms/611668448797208293?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Guest suite in Laie,Spacious 1-bedroom place suitable to your stay,"₹19,952 per night",4.4
58,https://www.airbnb.co.in//rooms/46261950?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Kapolei,Ko Olina Luxurious 2 Bedroom 2 Bath Beach Villa,"₹60,440 per night",4.8
59,https://www.airbnb.co.in//rooms/48302077?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,Largest lanai and outdoor space in Waikiki,"₹34,009 per night",4
60,https://www.airbnb.co.in//rooms/673356498614732325?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=645e19d2-0b5c-43dd-915c-3cd9298d0e29,Apartment in Honolulu,BEAUTIFUL STUDIO ROYAL GARDEN AT WAIKIKI HONOLULU,"₹22,640 per night",New
61,https://www.airbnb.co.in//rooms/21519013?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Honolulu,Plumeria house in trendy & quaint Kaimuki,"₹68,922 per night",4.9
62,https://www.airbnb.co.in//rooms/655715662706326716?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,Waikiki Beachwalk 2 Bedroom,"₹36,416 per night",New
63,https://www.airbnb.co.in//rooms/40309506?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Hotel room in Honolulu,"City View, 2 Twins or 1 Queen Bed","₹24,557 per night",4.3
64,https://www.airbnb.co.in//rooms/635362017774664628?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,Waikiki Beachwalk Resort 1 Bedroom,"₹18,778 per night",New
65,https://www.airbnb.co.in//rooms/38905277?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Hotel room in Honolulu,Luxury Direct Ocean View Terrace One King Bed,"₹28,742 per night",4.6
66,https://www.airbnb.co.in//rooms/36967870?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Private room in Honolulu,Peaceful Sunset/City Views in Downtown Skyrise!,"₹7,559 per night",4.7
67,https://www.airbnb.co.in//rooms/676685557292847488?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,BEAUTIFUL STUDIO ROYAL GARDEN AT WAIKIKI HONOLULU,"₹22,640 per night",New
68,https://www.airbnb.co.in//rooms/50667593?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Guest suite in Honolulu,"2 Bed Kahala Cottage, Sleeps 6, 10mins to Waikiki","₹27,207 per night",New
69,https://www.airbnb.co.in//rooms/673992178353029126?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Apartment in Honolulu,GORGEOUS STUDIO ROYAL GARDEN AT WAIKIKI!!,"₹22,640 per night",New
70,https://www.airbnb.co.in//rooms/34367808?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Private room in Honolulu,Downtown/Ocean Views Private Master BR,"₹7,184 per night, originally ₹7,878",4.6
71,https://www.airbnb.co.in//rooms/605637123474404138?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Kapolei,Marriott Ko Olina Beach Club Oahu - Studio Unit 2!,"₹38,906 per night",5
72,https://www.airbnb.co.in//rooms/553808903536290715?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Hotel room in Honolulu,Bedroom Suite,"₹17,828 per night",3.6
73,https://www.airbnb.co.in//rooms/696641453880572404?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Kahuku,Oceanfront Blue Hawaii Cottage  with endless fun!,"₹54,545 per night",New
74,https://www.airbnb.co.in//rooms/48430090?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Honolulu,The Penthouse modern luxury  in Waikiki,"₹63,113 per night, originally ₹71,060",New
75,https://www.airbnb.co.in//rooms/655719944452621582?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,Waikiki Beachwalk 2 Bedroom,"₹36,325 per night",New
76,https://www.airbnb.co.in//rooms/608720913362414570?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Kaneohe,Kualoa Oceanfront Paradise,"₹72,865 per night",New
77,https://www.airbnb.co.in//rooms/40909775?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Apartment in Honolulu,Tropical 2 Bdrm  Condo @ Waikiki Beach Walk Resort,"₹38,968 per night, originally ₹52,637",4.8
78,https://www.airbnb.co.in//rooms/22370885?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Honolulu,AMAZING SPACE 2 MILES FROM WAIKIKI.,"₹81,251 per night",4.6
79,https://www.airbnb.co.in//rooms/645623300012364749?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Apartment in Honolulu,Panoramic ocean view condo  in Waikiki,"₹36,344 per night",New
80,https://www.airbnb.co.in//rooms/53830282?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,"2 min walk to the beach / Parking , Kitchen , Pool","₹41,011 per night",New
81,https://www.airbnb.co.in//rooms/53701747?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Hotel room in Honolulu,"SLEEPS 2, IN THE HEART OF WAIKIKI, WALK TO BEACH","₹47,137 per night",New
82,https://www.airbnb.co.in//rooms/3372423?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Private room in Honolulu,The Golden Nest,"₹9,269 per night, originally ₹10,700",4.8
83,https://www.airbnb.co.in//rooms/560797551759260158?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Flat in Honolulu,Waikiki Beach Walk 1 Bedroom,"₹23,568 per night",New
